company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Biz4Group,AI Data Scientist,4.4,Jaipur,"₹ 5,71,421",1 to 50 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.2,4,4.2,4.3,4.2
Angel broking,Data Scientist 2,4.2,India,,1001 to 5000 Employees,1987,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,4.1,4,4.1,3.9,4.1
Indecomm Technology Services,Lead Associate (Data Analysis),4,Bengaluru,"₹ 2,66,623",1001 to 5000 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.9,3.6,3.8,3.7,3.9
Bombay Play,Data Analyst,4.3,Bengaluru,"₹ 2,40,000",51 to 200 Employees,2017,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.3,4.2,4.3,4.1,4.3
Aicence,Data Engineer,,Pune,"₹ 6,89,379",1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable,3.7,3.7,3.7,3.3,3.5
Adobe,BI Consultant,4.3,Bengaluru,,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD),4,4.2,4.4,3.9,4.2
Screen Magic Mobile Media Pvt. Ltd.,Data Analyst,3.6,Pune,"₹ 4,63,527",51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.7,3.6,3.3,3.2,3.2
Recruise,1700_HCP_Data Science,4.6,Bengaluru,,,,,,,,,,,,
SAVVI SALES AND SERVICE PVT.LTD.,Computer Data Entry Operator,,Haryāna,"₹ 7,500",,,,,,,,,,,
Gravity Infosoft,Data Entry Operator,,Delhi,,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,,,,,
Zeitview,Data Analyst - Utility Linesman,3.2,Bengaluru,"₹ 6,62,628",1 to 50 Employees,2014,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3,2.7,3.3,3.1,3.6
padmasai finance pvt ltd,Data Scientist,,India,"₹ 45,000",,,,,,,,,,,
PayU,Data Engineer,3.7,Bengaluru,"₹ 7,62,764",1001 to 5000 Employees,2002,Company - Private,Internet & Web Services,Information Technology,$10+ billion (USD),3.6,3.6,3.6,3.4,3.6
Ziniosedge,448395/Azure Data Factory,,India,,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.6,3.4,4,3.5,3.7
Macgence Technologies (OPC) PVT LTD,Internship (Data Annotation),4.8,Remote,"₹ 5,000",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,5,5,5,5,5
Risk Edge Solutions,Junior Data Scientist,,Hyderābād,"₹ 4,80,089",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4,4,4,5,4
Empower,Sr Analyst Data Science,3.9,Bengaluru,"₹ 3,94,308",10000+ Employees,1907,Company - Private,Investment & Asset Management,Finance,$2 to $5 billion (USD),3.9,3.6,3.9,3.6,4
Paytm,MS SQL- DBA,3.6,Noida,"₹ 5,14,293",10000+ Employees,2010,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.8,3.6,3.3,3.3,3.2
Adobe,Data Scientist,4.3,Noida,"₹ 4,88,950",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD),4,4.2,4.4,3.9,4.2
Blue Yonder,Business Analytics Analyst I,4.1,Bengaluru,"₹ 7,25,428",5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),3.9,3.9,4.2,3.7,4
PiWheel,Data Analyst,,India,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4,3,3,3,2
Adobe,Senior Data Architect,4.3,Bengaluru,"₹ 7,54,707",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD),4,4.2,4.4,3.9,4.2
Crossroad Elf DSS,Data Analytics Developer,4.8,Bengaluru,"₹ 5,26,498",1 to 50 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5,5,5,5,5
TechStep,Data Scientist (Machine Learning),,India,,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.3,4.3,4.3,4,4.3
GyanTU,Data Analyst,,India,,,,,,,,,,,,
Fusemachines,Data Analyst,3.4,Pune,"₹ 3,64,005",51 to 200 Employees,--,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),3.6,3,3.7,3,3.6
Infowiz Software Solution,DATA SCIENCE,,Chandigarh,"₹ 20,000",,,,,,,,,,,
Myntra.com,Associate - Business Planning (Business Analyst),4,Bengaluru,"₹ 8,04,984",1001 to 5000 Employees,2007,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.8,3.7,4,3.5,3.5
Aureus Analytics,Data Scientist,,Mumbai,"₹ 7,23,964",1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,3.9,4.7,4.5,4.4
Fluid.Live Solutions Pvt Ltd,Data Research Analyst,,Pune,"₹ 11,15,362",,,,,,,,,,,
Zensar Technologies,"ETL, DATA MIGRATION",4,Bengaluru,,5001 to 10000 Employees,2001,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.9,3.8,4.1,3.8,4.1
Decision Tree,Data Analyst,,Gurgaon,"₹ 5,39,259",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.8,3.4,3.8,3.4,3.8
Airbus,Technical Data Analyst,4.1,Bengaluru,"₹ 4,86,056",1001 to 5000 Employees,1970,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.9,3.9,4,3.5,4.2
Deloitte,Consulting-SAMA A&C-Data Science,4.1,Bengaluru,"₹ 7,48,378",10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,Unknown / Non-Applicable,4.1,4,4.1,3.8,3.3
NeGD,Data Analysts - MoRD,3.6,New Delhi,"₹ 5,24,786",1 to 50 Employees,--,Non-profit Organisation,--,--,Unknown / Non-Applicable,2.6,2.7,3,3.2,3.3
Accenture,Data Science-Application Developer,4,Bengaluru,,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),4,3.7,4,3.6,3.6
HDFC Bank,Retail Credit-Data Entry Operator-BL - Jaipur,3.6,Jaipur,"₹ 1,09,408",10000+ Employees,1995,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.6,3.3,3.2,3.1,2.7
RightWave,Data Analyst,4,Noida,"₹ 4,64,758",51 to 200 Employees,2004,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4,3.7,3.9,3.8,3.7
Sailo Technosoft,Data Engineer (Data Management),,Maharashtra,,,,,,,,,,,,
Skyrand Technologies,Data Entry Operator,4.7,Coimbatore,"₹ 12,000",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.1,4,4.1,4.3,4.5
Wells Fargo,Data Science Consultant,3.6,Bengaluru,,10000+ Employees,1852,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.5,3.7,3.5,3.1,3.6
Recruitment Smart,Data Analyst,5,Ahmedabad,,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
StatusNeo Technology Consulting,Data Scientist,4,Gurgaon,"₹ 5,01,996",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4,3.9,4,3.8,3.8
Marktine Technology Solutions,Process Developer– Data Analyst,4.2,Remote,,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4,3.7,4.1,4.1,4.3
Halliburton,"Tech Prof-Data Science, Assoc",3.7,Bengaluru,,,,,,,,,,,,
KBR,Data Analyst,3.9,Gurgaon,,,,,,,,,,,,
Emerson,Supply Chain Data Analyst,3.9,Pune,"₹ 4,82,377",10000+ Employees,1890,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.4,3.9,3.5,3.8
Lendingkart,Manager - MIS & Data Analysis,3.9,India,,201 to 500 Employees,2014,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,3.9,3.9,3.7,3.4,3.4
Klub Works,E-Commerce Data Analyst,,Ahmedabad,,,,,,,,,,,,
METRIO,Business Analyst,4,Bengaluru,"₹ 5,94,298",1001 to 5000 Employees,1971,Company - Public,Stock Exchanges,Finance,$2 to $5 billion (USD),3.8,3.8,4.1,3.9,4
Accenture,Finance Process & Ops Associate - Finance Data Maintenance,4,Bengaluru,,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),4,3.7,4,3.6,3.6
UBS,Data Management Analyst,3.9,Pune,"₹ 6,82,367",10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Dolby,Data Scientist,4.1,Bengaluru,,1001 to 5000 Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$2 to $5 billion (USD),3.6,3.7,4,3.5,4.2
Magic Infomedia,Data Mining,,Delhi,,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
GUJARAT FLUOROCHEMICALS,Data Scientist,4.3,Noida,"₹ 5,91,502",1001 to 5000 Employees,--,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD),4.2,4,4,3.8,3.9
Elsevier,Senior Data Analyst I,4.5,Chennai,"₹ 6,66,813",5001 to 10000 Employees,1880,Subsidiary or Business Segment,Publishing,Media & Communication,$2 to $5 billion (USD),4.1,4.2,4.5,4,4.6
Resource Solutions,Operational Data Analyst,4.2,Hyderābād,"₹ 4,05,625",501 to 1000 Employees,1997,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.1,3.9,4.2,4.1,4.1
B. M. Infotrade Pvt. Ltd.,Data Analyst Intern,,Jaipur,"₹ 1,25,000",,,,,,,,,,,
Affine,Data Analyst,4.8,Bengaluru,"₹ 4,80,625",1 to 50 Employees,2016,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.6,3.9,4.8,4.4,4.3
MathCo,Senior Associate - Data Science,3.5,Bengaluru,"₹ 8,76,519",1001 to 5000 Employees,2016,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.6,3.4,3.6,3.2,2.9
Larsen & Toubro,Data Analyst,3.5,Chennai,"₹ 6,50,000",10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.4,2.9,3.4,3.1,3.4
NeoStats,Data Modeler,,Bengaluru,,,,,,,,,,,,
NeoStats,Data Scientist,,Bengaluru,,,,,,,,,,,,
Lilly,Data Scientist - 1st Party Data,4.1,Bengaluru,"₹ 8,80,909",10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,3.9,4,3.6,3.9
Cityinfo Services,DATA ANALYST,3.9,Bengaluru,"₹ 3,22,490",51 to 200 Employees,--,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,4,3.9,3.9,4.1,4
Navikenz,Data Scientist,,India,,51 to 200 Employees,2021,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),4.5,3.9,4.5,4.5,4.5
JPMorgan Chase & Co,Client Data Specialist IV,4,Hyderābād,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Yara,Associate Data Engineer R&D (Contract),4.2,Bengaluru,"₹ 6,59,950",10000+ Employees,1905,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,4.3,3.6,4.2
Advent InfoSoft Pvt Ltd,Data Management Executive,2.6,Delhi,,1 to 50 Employees,--,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,2.6,3.1,2.6,3.1,2.6
SourceMash Technologies,Data Analyst/Power BI,3.2,Mohali,"₹ 4,06,940",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.4,3.1,3.1,3.1,3.3
Litmus7,Data Engineer,4.7,Cochin,"₹ 7,24,900",501 to 1000 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),4.4,4.1,4.7,4.5,4.5
Confluent,Data Scientist II,3.7,India,,1001 to 5000 Employees,2014,Company - Public,Computer Hardware Development,Information Technology,$500 million to $1 billion (USD),3.6,4.2,3.6,3.1,3.5
Mastercard,Data Engineer II,4.3,Pune,"₹ 2,03,995",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable,4.2,4.2,4.4,4,4.3
E2E Infoware Management Services,Data Scientist,,Chennai,"₹ 5,36,656",51 to 200 Employees,2003,Company - Private,--,Information Technology,$10+ billion (USD),4.7,4.7,5,4.7,4.7
Addepar,Market Data Analyst (Pune),4.2,Pune,"₹ 4,20,887",501 to 1000 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4,4.2,4,3.3,4
Nuware Systems,Analyst - Data Science,4.2,Bengaluru,"₹ 8,21,380",51 to 200 Employees,1994,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.9,3.8,4.2,4,4.4
Schbang Digital Solutions,Business Analyst,3.8,Bengaluru,"₹ 2,74,542",1001 to 5000 Employees,2015,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4,3.2,3.9,3.5,3.4
G2,Data Scientist II,4.5,Bengaluru,"₹ 7,01,282",501 to 1000 Employees,2012,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.4,4,4.7,4.4,4.6
Creative Synergies Group,Data Analyst-Power BI,3.8,Bengaluru,"₹ 7,61,723",1001 to 5000 Employees,2011,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,3.9,3.6,3.8,3.9,3.8
VMAKS Constructions,Data Entry Operator,,Gurgaon,"₹ 17,500",,,,,,,,,,,
ICON,Data & Reporting Analyst II,3.8,Chennai,"₹ 9,09,945",10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.6,3.5,3.7,3.4,3.7
JPMorgan Chase & Co,Data Quality Associate,4,Hyderābād,"₹ 6,40,045",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
NielsenIQ,Data Processing Analyst,3.9,Chennai,"₹ 3,60,000",10000+ Employees,1923,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.3,4.1,3.6,3.7
Maruti Suzuki India Ltd,Data Scientist,3.9,Delhi,,10000+ Employees,--,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.7,4,3.4,3.3,3.1
Blinkyard Infotech,Data Entry,3.1,Bengaluru,"₹ 1,58,291",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,3.1,3.1,3.1,3.1,3.1
SE-Mentor Solutions,Data Analyst,,Cochin,"₹ 2,64,244",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.3,3,4.4,4.2,4.6
Firebucks,Data Modeler,,Bengaluru,"₹ 4,43,293",1 to 50 Employees,2015,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,5,4,5,5,4
Heads Up For Tails,Inventory Manager- Data Analyst,4.3,Bengaluru,"₹ 6,90,600",1001 to 5000 Employees,2008,Company - Private,Pet & Pet Supplies Stores,Retail & Wholesale,Unknown / Non-Applicable,4,3.7,3.9,3.8,3.8
Amnet Digital,Data Scientist,4,Hyderābād,"₹ 4,38,887",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.1,3.7,3.9,3.9,3.9
The Bridgespan Group,Platform & Data Associate,4.2,Mumbai,"₹ 14,00,000",201 to 500 Employees,2000,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,$25 to $50 million (USD),4.2,4.2,4.3,3.8,3.5
Deloitte,Enabling Areas - Data Scientist - AM/DM,4.1,Delhi,,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,Unknown / Non-Applicable,4.1,4,4.1,3.8,3.3
Nestle Operational Services Worldwide SA,Data Engineer,4.1,Bengaluru,"₹ 4,99,919",10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.9,4.1,3.7,3.7
Coforge Ltd.,DATA ANALYST - SAS,3.6,Greater Noida,"₹ 7,81,721",10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.4,3.3,3.5,3.2,3.5
Motive,Data Engineer,4,Bengaluru,"₹ 6,16,344",1001 to 5000 Employees,2013,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,3.9,3.9,4.1,3.7,4
DataEconomy,AWS Data Engineer,4.7,Hyderābād,"₹ 8,52,614",201 to 500 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.7,3.9,4.5,4.7,3.9
"Medpace, Inc.",Junior/ Associate Data Manager,3.4,Thāne,"₹ 5,89,237",5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
VINAYAGA ENTERPRISES,Data Entry Officer,,Chennai,"₹ 25,250",,,,,,,,,,,
ADCI - Haryana,"Data Associate I (French), ML Data Ops",3.7,Gurgaon,"₹ 3,17,332",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.7,3.8,3.6,3.3,3.2
Innovative Incentives,MIS & Data Analysts,3.3,Mohali,"₹ 4,06,940",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.3,2.9,2.9,2.8,3.2
Cellworks Research India,Data Scientist,,Bengaluru,"₹ 5,09,747",51 to 200 Employees,2005,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.3,3.5,3.3,3.2,2.9
MOLECULAR CONNECTIONS,Clinical SAS Programmers,3.7,Remote,,1001 to 5000 Employees,2001,Company - Private,Healthcare Services & Hospitals,Healthcare,$25 to $50 million (USD),3.6,3.4,3.7,3.7,3.6
Moonpreneur,Data Research Associate,4.6,Gurgaon,"₹ 4,06,202",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,5,5,5,5,4.5
Sitare Foundation,Data Entry Operator,3,Gurgaon,"₹ 2,04,573",Unknown,--,Company - Private,"Civic, Welfare & Social Services",Non-profit & NGO,Unknown / Non-Applicable,3,3.3,2.9,3,2.9
KRSNAA Diagnostics,Data Analyst,3.3,Pune,"₹ 1,82,166",Unknown,--,Company - Private,Medical Testing & Clinical Laboratories,Healthcare,Unknown / Non-Applicable,3.4,3,3.1,3,2.9
Quest Global,Data Analyst,3.7,Belgaum,"₹ 4,15,258",10000+ Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.7,3.2,3.8,3.5,3.7
Concentrix,Data Miner Global Analytics,4.1,Bengaluru,"₹ 4,14,540",10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),4,3.7,4.1,3.9,3.8
Ethnotech Academy,MACHINE LEARNING / DATA SCIENCE TRAINER,,Bengaluru,,51 to 200 Employees,--,Unknown,--,--,Unknown / Non-Applicable,3.4,3.4,3.2,3.2,3.4
JPMorgan Chase & Co,CIB-Markets Data Management Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
NTT Ltd.,Manager - Data Center Operations,4.2,Karnataka,,10000+ Employees,1952,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),4,3.6,4,3.7,4
Exeliq Consulting,Data Scientist,,India,,1 to 50 Employees,2019,Company - Public,--,--,Less than $1 million (USD),3,1.5,2.5,2.5,3.1
PharmaACE,Data Engineer,3.3,Pune,"₹ 4,18,911",201 to 500 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$25 to $50 million (USD),3.8,3.2,3.2,3.2,2.7
Marktine Technology Solutions,Data engineer,4.2,Remote,,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4,3.7,4.1,4.1,4.3
MOLECULAR CONNECTIONS,Statistical Analyst,3.7,Remote,,1001 to 5000 Employees,2001,Company - Private,Healthcare Services & Hospitals,Healthcare,$25 to $50 million (USD),3.6,3.4,3.7,3.7,3.6
Bombay Play,Data Engineer,4.3,Bengaluru,"₹ 7,68,192",51 to 200 Employees,2017,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.3,4.2,4.3,4.1,4.3
Medical Assistance,Data Entry Operator,,Cochin,"₹ 16,500",,,,,,,,,,,
Thoucentric,Data Analyst (Advanced SQL Experience),4.1,Bengaluru,"₹ 9,21,654",201 to 500 Employees,2015,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.8,3.5,4.5,4.1,4
Prevalent AI,Data Scientist,4.8,Cochin,"₹ 6,91,558",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.5,4.9,4.8,4.1
Citta Solutions,Data Engineer,3.6,Remote,,1 to 50 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3.6,3.5,3.9,3.8,3.6
OpsFree,Data Science Intern,,Ahmedabad,"₹ 7,500",,,,,,,,,,,
Databricks,Big Data Architect,4.4,Remote,,5001 to 10000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.3,4.3,4.2,3.8
Global WeConnect Technologies,Snowflake Data Engineer,4.8,Bengaluru,"₹ 5,91,608",1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),4.6,4.4,4.4,4.6,4.2
Xcel Hires Management Solution,Data Science,,Bengaluru,"₹ 20,00,000",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
IBM,Data Scientist: Artificial Intelligence,4.2,Bengaluru,"₹ 7,47,669",10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),4.1,3.6,4.2,3.8,4.2
Gain.pro,Private Equity Intelligence - Data Management Analyst,4,Bengaluru,"₹ 3,84,773",51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.9,3.4,3.8,3.7,4.2
String Bio,DATA SCIENTIST,4.3,Bengaluru,"₹ 5,79,655",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.6,3.3,4.5,4.7,3.6
BSRI Solutions,Data Scientist,,Chennai,"₹ 11,00,000",1 to 50 Employees,2016,Company - Private,"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,Less than $1 million (USD),,,,,
JPMorgan Chase & Co,Data and Quality Control Processing - Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Inventive Software Solutions Pvt. Ltd,Data Entry Operator/Computer Operator,,Noida,"₹ 19,000",,,,,,,,,,,
eCloudChain,Data Analyst,,Remote,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4,4,5,5,4
Kpro Solutions,Analytics & Data Science,4,Bengaluru,"₹ 4,83,915",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4,4,4,4,4
Athena Global Technologies,Data Engineer,,Hyderābād,"₹ 6,78,949",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.2,3.5,4,3.9,3.9
Wesco,India-Bangalore: Data Engineer,3.7,Bengaluru,"₹ 6,51,920",10000+ Employees,1922,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
Course5,Data Scientist,4.2,Bengaluru,"₹ 4,24,426",1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),4.3,4.1,4.3,4.1,4.2
Sanfoundry,Machine Learning Engineer - Fresher,,Hyderābād,,1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
