company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Certara,Data Analyst 1,4,Hyderābād,"₹ 4,07,603",1001 to 5000 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.1,4,4,3.7,3.9
Knoema,Data Engineer,3.9,Bengaluru,"₹ 4,91,606",51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.7,3.6,3.6,3.7,3.8
JPMorgan Chase & Co,Data Scientist Associate Sr,4,Hyderābād,"₹ 5,29,783",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Growexx,Data Engineer,4.2,Remote,,51 to 200 Employees,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.3,4.3,4.1,4.2,4.3
Blenheim Chalcot India,Data Engineer,3.7,Mumbai,"₹ 5,84,148",51 to 200 Employees,1998,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,3.5,3.5,3.7,3.2,3.5
LanceTech Solutions Pvt Ltd,Senior Data Engineer,4.9,Bengaluru,"₹ 17,50,000",51 to 200 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),5,4.7,4.4,5,4.6
Capria Ventures,Data Analyst,,Bengaluru,"₹ 5,62,805",1 to 50 Employees,--,Private Practice / Firm,Investment & Asset Management,Finance,Less than $1 million (USD),3.4,3.3,4,4.2,3.8
Artefact,Data Analyst,4,India,,501 to 1000 Employees,2014,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.2,3.7,4,3.9,3.7
ATDXT,Oracle Data Administrator,,Bengaluru,,,,,,,,,,,,
Antino Labs,Data Engineer,3.6,Gurgaon,,,,,,,,,,,,
Tata Consultancy Services,Data Architect,3.8,Bengaluru,"₹ 4,24,476",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
EMIDS,Big Data Engineer|| RR/27/2024 || 5+ yrs,3.6,Bengaluru,"₹ 8,49,262",1001 to 5000 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.5,3.3,3.5,3.4,3.6
Cesta Inc,Clinical Data Manager,,Bengaluru,"₹ 3,50,862",1 to 50 Employees,--,Contract,--,--,Unknown / Non-Applicable,,,,,
